SessionUID,SessionDate,SessionType,Venue,SourceStatus,PitchUID,PitchNo,UTCDateTime,PitcherId,PitcherName,BatterId,BatterName,TaggedPitchType,AutoPitchType,PitchCall,RelSpeed,SpinRate,SpinAxis,HorzBreak,InducedVertBreak,RelHeight,RelSide,Extension,PlateLocHeight,PlateLocSide,VertApprAngle,HorzApprAngle,ExitSpeed,Angle,Direction,Distance,HangTime,HitSpinRate,ContactPositionX,ContactPositionY,ContactPositionZ,TaggedHitType,Drill,Grip,Intent,BallType,BallWeightOz,TrainingBlock,Tags
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P001,1,2026-09-12T16:00:00+00:00,TM-100241,"Williams, Jake",,,Slider,Slider,StrikeSwinging,79.6,2380,225.7,5.9,15.2,5.98,1.76,5.97,1.91,-1.22,-7.33,-1.54,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P002,2,2026-09-12T16:00:45+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,BallCalled,86.4,2093,194.1,11.6,18.2,6.10,1.80,6.18,3.13,-0.75,-5.86,1.95,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P003,3,2026-09-12T16:01:30+00:00,TM-100241,"Williams, Jake",,,Curveball,Curveball,BallCalled,75.1,2469,204.6,7.6,12.6,5.90,1.82,6.12,1.31,0.46,-5.92,1.46,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P004,4,2026-09-12T16:02:15+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,StrikeCalled,86.1,2150,182.6,10.5,12.2,5.91,1.99,6.05,2.08,0.38,-5.21,1.25,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P005,5,2026-09-12T16:03:00+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,StrikeSwinging,86.5,2169,209.3,8.6,20.2,5.77,1.84,6.11,1.82,0.88,-5.55,0.49,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P006,6,2026-09-12T16:03:45+00:00,TM-100241,"Williams, Jake",,,ChangeUp,ChangeUp,StrikeCalled,78.8,2397,214.4,9.2,19.3,5.90,1.96,6.05,3.18,-0.60,-5.13,0.15,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P007,7,2026-09-12T16:04:30+00:00,TM-100241,"Williams, Jake",,,ChangeUp,ChangeUp,StrikeSwinging,77.6,2260,204.7,6.9,9.8,5.94,2.16,6.18,2.17,-1.32,-6.43,-0.00,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P008,8,2026-09-12T16:05:15+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,BallCalled,87.5,2240,215.8,8.8,20.1,6.06,1.77,6.42,1.86,0.30,-7.36,-0.47,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P009,9,2026-09-12T16:06:00+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,FoulBall,85.4,2035,215.2,12.1,11.0,5.82,1.84,6.38,2.46,1.35,-8.49,1.74,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P010,10,2026-09-12T16:06:45+00:00,TM-100241,"Williams, Jake",,,Slider,Slider,StrikeSwinging,75.6,2300,229.0,5.5,15.8,5.91,1.79,5.78,2.44,0.31,-6.28,-0.01,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P011,11,2026-09-12T16:07:30+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,InPlay,89.8,2296,207.9,6.3,10.3,5.89,1.79,6.29,3.26,0.83,-6.67,-1.01,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P012,12,2026-09-12T16:08:15+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,StrikeCalled,86.9,2331,209.5,11.7,20.7,5.75,1.96,6.48,2.90,-0.36,-6.88,0.54,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P013,13,2026-09-12T16:09:00+00:00,TM-100241,"Williams, Jake",,,Slider,Slider,BallCalled,79.9,2531,217.1,1.7,13.6,5.84,1.88,6.02,1.58,-1.63,-7.00,1.37,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P014,14,2026-09-12T16:09:45+00:00,TM-100241,"Williams, Jake",,,Curveball,Curveball,StrikeSwinging,73.6,2438,180.1,6.6,15.4,5.74,1.95,6.18,2.05,-0.70,-6.78,-0.03,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P015,15,2026-09-12T16:10:30+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,StrikeCalled,87.0,2123,196.1,8.6,16.8,5.85,1.83,6.10,3.51,0.44,-5.01,-0.43,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
TM-SESSION-20260912-TM-100241,2026-09-12,Bullpen,Main Facility,Preliminary,TM-SESSION-20260912-TM-100241-P016,16,2026-09-12T16:11:15+00:00,TM-100241,"Williams, Jake",,,Fastball,Fastball,BallCalled,86.7,2122,201.8,11.8,16.7,5.82,1.75,6.08,2.39,0.22,-5.12,0.56,,,,,,,,,,,Command Ladder,Spike,Compete,Baseball,5.125,Offseason Block 2,bullpen|tracked
